"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 24 15:06:35 IST 2025","Fri Jan 24 15:06:56 IST 2025","21152","chromium","Login.spec.ts","User Login/Logout flow @e2e","","","DNAAPP-341_ABC Fitness Login Scenario + Logout",""
"passed","Fri Jan 24 15:06:56 IST 2025","Fri Jan 24 15:07:07 IST 2025","11200","chromium","Login.spec.ts","User Login/Logout flow @e2e","","","DNAAPP-357_ABC Fitness Negative Login Scenario",""
